"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
lci_b7b_count,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"B7b#. Describe briefly (if known) what drugs you were exposed to and how.

Count:","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9",,,,,,"[lci_b7] = '1'",y,,,,,
lci_b7bi_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #1
Start date:

<i>*If exposed to the same thing, in the same way, multiple times, include the start and stop dates of that entire time period (e.g., if exposed a few times per year, insert the start and end dates of that period).</i>",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 1",y,,,,,
lci_b7bii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #1
End date:",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 1",y,,,,,
lci_b7biii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #1
Name of Drug:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 1",,,,,,
lci_b7biv_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #1
Frequency:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 1",,,,,,
lci_b7bv_1,life_chart_interview_b_birth_to_start_of_elementar,,radio,"Drug #1
How:","1, Direct intake | 2, Second-hand exposure (e.g., parents smoking around them as a child)",,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 1",y,,,,,
lci_b7bi_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #2
Start date:

<i>*If exposed to the same thing, in the same way, multiple times, include the start and stop dates of that entire time period (e.g., if exposed a few times per year, insert the start and end dates of that period).</i>",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 2",y,,,,,
lci_b7bii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #2
End date:",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 2",y,,,,,
lci_b7biii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #2
Name of Drug:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 2",,,,,,
lci_b7biv_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #2
Frequency:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 2",,,,,,
lci_b7bv_2,life_chart_interview_b_birth_to_start_of_elementar,,radio,"Drug #2
How:","1, Direct intake | 2, Second-hand exposure (e.g., parents smoking around them as a child)",,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 2",y,,,,,
lci_b7bi_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #3
Start date:

<i>*If exposed to the same thing, in the same way, multiple times, include the start and stop dates of that entire time period (e.g., if exposed a few times per year, insert the start and end dates of that period).</i>",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 3",y,,,,,
lci_b7bii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #3
End date:",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 3",y,,,,,
lci_b7biii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #3
Name of Drug:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 3",,,,,,
lci_b7biv_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #3
Frequency:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 3",,,,,,
lci_b7bv_3,life_chart_interview_b_birth_to_start_of_elementar,,radio,"Drug #3
How:","1, Direct intake | 2, Second-hand exposure (e.g., parents smoking around them as a child)",,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 3",y,,,,,
lci_b7bi_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #4
Start date:

<i>*If exposed to the same thing, in the same way, multiple times, include the start and stop dates of that entire time period (e.g., if exposed a few times per year, insert the start and end dates of that period).</i>",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 4",y,,,,,
lci_b7bii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #4
End date:",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 4",y,,,,,
lci_b7biii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #4
Name of Drug:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 4",,,,,,
lci_b7biv_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #4
Frequency:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 4",,,,,,
lci_b7bv_4,life_chart_interview_b_birth_to_start_of_elementar,,radio,"Drug #4
How:","1, Direct intake | 2, Second-hand exposure (e.g., parents smoking around them as a child)",,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 4",y,,,,,
lci_b7bi_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #5
Start date:

<i>*If exposed to the same thing, in the same way, multiple times, include the start and stop dates of that entire time period (e.g., if exposed a few times per year, insert the start and end dates of that period).</i>",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 5",y,,,,,
lci_b7bii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #5
End date:",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 5",y,,,,,
lci_b7biii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #5
Name of Drug:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 5",,,,,,
lci_b7biv_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #5
Frequency:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 5",,,,,,
lci_b7bv_5,life_chart_interview_b_birth_to_start_of_elementar,,radio,"Drug #5
How:","1, Direct intake | 2, Second-hand exposure (e.g., parents smoking around them as a child)",,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 5",y,,,,,
lci_b7bi_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #6
Start date:

<i>*If exposed to the same thing, in the same way, multiple times, include the start and stop dates of that entire time period (e.g., if exposed a few times per year, insert the start and end dates of that period).</i>",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 6",y,,,,,
lci_b7bii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #6
End date:",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 6",y,,,,,
lci_b7biii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #6
Name of Drug:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 6",,,,,,
lci_b7biv_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #6
Frequency:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 6",,,,,,
lci_b7bv_6,life_chart_interview_b_birth_to_start_of_elementar,,radio,"Drug #6
How:","1, Direct intake | 2, Second-hand exposure (e.g., parents smoking around them as a child)",,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 6",y,,,,,
lci_b7bi_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #7
Start date:

<i>*If exposed to the same thing, in the same way, multiple times, include the start and stop dates of that entire time period (e.g., if exposed a few times per year, insert the start and end dates of that period).</i>",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 7",y,,,,,
lci_b7bii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #7
End date:",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 7",y,,,,,
lci_b7biii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #7
Name of Drug:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 7",,,,,,
lci_b7biv_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #7
Frequency:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 7",,,,,,
lci_b7bv_7,life_chart_interview_b_birth_to_start_of_elementar,,radio,"Drug #7
How:","1, Direct intake | 2, Second-hand exposure (e.g., parents smoking around them as a child)",,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 7",y,,,,,
lci_b7bi_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #8
Start date:

<i>*If exposed to the same thing, in the same way, multiple times, include the start and stop dates of that entire time period (e.g., if exposed a few times per year, insert the start and end dates of that period).</i>",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 8",y,,,,,
lci_b7bii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #8
End date:",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 8",y,,,,,
lci_b7biii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #8
Name of Drug:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 8",,,,,,
lci_b7biv_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #8
Frequency:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 8",,,,,,
lci_b7bv_8,life_chart_interview_b_birth_to_start_of_elementar,,radio,"Drug #8
How:","1, Direct intake | 2, Second-hand exposure (e.g., parents smoking around them as a child)",,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 8",y,,,,,
lci_b7bi_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #9
Start date:

<i>*If exposed to the same thing, in the same way, multiple times, include the start and stop dates of that entire time period (e.g., if exposed a few times per year, insert the start and end dates of that period).</i>",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 9",y,,,,,
lci_b7bii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #9
End date:",,,date_ymd,,,y,"[lci_b7] = '1' and [lci_b7b_count] >= 9",y,,,,,
lci_b7biii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #9
Name of Drug:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 9",,,,,,
lci_b7biv_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Drug #9
Frequency:",,,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 9",,,,,,
lci_b7bv_9,life_chart_interview_b_birth_to_start_of_elementar,,radio,"Drug #9
How:","1, Direct intake | 2, Second-hand exposure (e.g., parents smoking around them as a child)",,,,,,"[lci_b7] = '1' and [lci_b7b_count] >= 9",y,,,,,
lci_b8,life_chart_interview_b_birth_to_start_of_elementar,,yesno,"B8. Did you see a mental health professional for any reason? (For example, for mood or anxiety, behavior problems, learning difficulties, to help with adjustment to divorce, etc.)",,,,,,,,y,,,,,
lci_b8b_count,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"B8b#. Describe briefly each period in which you were seen by a mental health professional.

Count:","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9",,,,,,"[lci_b8] = '1'",,,,,,
lci_b8bi_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #1
Start date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 1",y,,,,,
lci_b8bii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #1
End date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 1",y,,,,,
lci_b8biii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #1
Reason for going:

<i>*Reason for going could include ""mood"" or ""behavior"" while the type of treatment may include ""family therapy"" or ""medications"", etc.</i>",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 1",,,,,,
lci_b8biv_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #1
Type of treatment:",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 1",,,,,,
lci_b8bi_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #2
Start date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 2",y,,,,,
lci_b8bii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #2
End date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 2",y,,,,,
lci_b8biii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #2
Reason for going:

<i>*Reason for going could include ""mood"" or ""behavior"" while the type of treatment may include ""family therapy"" or ""medications"", etc.</i>",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 2",,,,,,
lci_b8biv_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #2
Type of treatment:",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 2",,,,,,
lci_b8bi_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #3
Start date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 3",y,,,,,
lci_b8bii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #3
End date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 3",y,,,,,
lci_b8biii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #3
Reason for going:

<i>*Reason for going could include ""mood"" or ""behavior"" while the type of treatment may include ""family therapy"" or ""medications"", etc.</i>",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 3",,,,,,
lci_b8biv_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #3
Type of treatment:",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 3",,,,,,
lci_b8bi_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #4
Start date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 4",y,,,,,
lci_b8bii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #4
End date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 4",y,,,,,
lci_b8biii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #4
Reason for going:

<i>*Reason for going could include ""mood"" or ""behavior"" while the type of treatment may include ""family therapy"" or ""medications"", etc.</i>",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 4",,,,,,
lci_b8biv_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #4
Type of treatment:",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 4",,,,,,
lci_b8bi_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #5
Start date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 5",y,,,,,
lci_b8bii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #5
End date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 5",y,,,,,
lci_b8biii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #5
Reason for going:

<i>*Reason for going could include ""mood"" or ""behavior"" while the type of treatment may include ""family therapy"" or ""medications"", etc.</i>",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 5",,,,,,
lci_b8biv_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #5
Type of treatment:",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 5",,,,,,
lci_b8bi_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #6
Start date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 6",y,,,,,
lci_b8bii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #6
End date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 6",y,,,,,
lci_b8biii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #6
Reason for going:

<i>*Reason for going could include ""mood"" or ""behavior"" while the type of treatment may include ""family therapy"" or ""medications"", etc.</i>",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 6",,,,,,
lci_b8biv_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #6
Type of treatment:",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 6",,,,,,
lci_b8bi_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #7
Start date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 7",y,,,,,
lci_b8bii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #7
End date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 7",y,,,,,
lci_b8biii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #7
Reason for going:

<i>*Reason for going could include ""mood"" or ""behavior"" while the type of treatment may include ""family therapy"" or ""medications"", etc.</i>",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 7",,,,,,
lci_b8biv_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #7
Type of treatment:",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 7",,,,,,
lci_b8bi_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #8
Start date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 8",y,,,,,
lci_b8bii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #8
End date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 8",y,,,,,
lci_b8biii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #8
Reason for going:

<i>*Reason for going could include ""mood"" or ""behavior"" while the type of treatment may include ""family therapy"" or ""medications"", etc.</i>",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 8",,,,,,
lci_b8biv_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #8
Type of treatment:",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 8",,,,,,
lci_b8bi_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #9
Start date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 9",y,,,,,
lci_b8bii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #9
End date:",,,date_ymd,,,y,"[lci_b8] = '1'  and [lci_b8b_count] >= 9",y,,,,,
lci_b8biii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #9
Reason for going:

<i>*Reason for going could include ""mood"" or ""behavior"" while the type of treatment may include ""family therapy"" or ""medications"", etc.</i>",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 9",,,,,,
lci_b8biv_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Period #9
Type of treatment:",,,,,,,"[lci_b8] = '1'  and [lci_b8b_count] >= 9",,,,,,
lci_b9,life_chart_interview_b_birth_to_start_of_elementar,,yesno,"B9. Did anything change with your family during this period? (for example, were there births or adoptions of siblings, did your parents get married or divorced, etc.)",,,,,,,,y,,,,,
lci_b9b_count,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"B9b#. Please provide a brief description of these changes and the approximate date each occurred. In addition, we would like you estimate how your mood was (on the scale of 1-10) in response to this change.

Count:","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9",,,,,,"[lci_b9] = '1'",y,,,,,
lci_b9bi_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #1
Start Date:

<i>*Most of these will only have one date to enter (e.g., date of sibling birth, date of divorce, etc.) but we are putting a start and end date possibility for the sake of consistency.</i>",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 1",y,,,,,
lci_b9bii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #1
End Date:",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 1",,,,,,
lci_b9biii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #1
Event Type:

<i>*For event type, enter brief explanation, such as ""Parent remarried"", or ""Sister was born"".</i>",,,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 1",y,,,,,
lci_b9biv_1,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #1
Mood rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 1",y,,,,,
lci_b9bi_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #2
Start Date:

<i>*Most of these will only have one date to enter (e.g., date of sibling birth, date of divorce, etc.) but we are putting a start and end date possibility for the sake of consistency.</i>",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 2",y,,,,,
lci_b9bii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #2
End Date:",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 2",,,,,,
lci_b9biii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #2
Event Type:

<i>*For event type, enter brief explanation, such as ""Parent remarried"", or ""Sister was born"".</i>",,,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 2",y,,,,,
lci_b9biv_2,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #2
Mood rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 2",y,,,,,
lci_b9bi_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #3
Start Date:

<i>*Most of these will only have one date to enter (e.g., date of sibling birth, date of divorce, etc.) but we are putting a start and end date possibility for the sake of consistency.</i>",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 3",y,,,,,
lci_b9bii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #3
End Date:",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 3",,,,,,
lci_b9biii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #3
Event Type:

<i>*For event type, enter brief explanation, such as ""Parent remarried"", or ""Sister was born"".</i>",,,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 3",y,,,,,
lci_b9biv_3,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #3
Mood rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 3",y,,,,,
lci_b9bi_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #4
Start Date:

<i>*Most of these will only have one date to enter (e.g., date of sibling birth, date of divorce, etc.) but we are putting a start and end date possibility for the sake of consistency.</i>",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 4",y,,,,,
lci_b9bii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #4
End Date:",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 4",,,,,,
lci_b9biii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #4
Event Type:

<i>*For event type, enter brief explanation, such as ""Parent remarried"", or ""Sister was born"".</i>",,,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 4",y,,,,,
lci_b9biv_4,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #4
Mood rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 4",y,,,,,
lci_b9bi_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #5
Start Date:

<i>*Most of these will only have one date to enter (e.g., date of sibling birth, date of divorce, etc.) but we are putting a start and end date possibility for the sake of consistency.</i>",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 5",y,,,,,
lci_b9bii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #5
End Date:",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 5",,,,,,
lci_b9biii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #5
Event Type:

<i>*For event type, enter brief explanation, such as ""Parent remarried"", or ""Sister was born"".</i>",,,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 5",y,,,,,
lci_b9biv_5,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #5
Mood rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 5",y,,,,,
lci_b9bi_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #6
Start Date:

<i>*Most of these will only have one date to enter (e.g., date of sibling birth, date of divorce, etc.) but we are putting a start and end date possibility for the sake of consistency.</i>",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 6",y,,,,,
lci_b9bii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #6
End Date:",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 6",,,,,,
lci_b9biii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #6
Event Type:

<i>*For event type, enter brief explanation, such as ""Parent remarried"", or ""Sister was born"".</i>",,,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 6",y,,,,,
lci_b9biv_6,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #6
Mood rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 6",y,,,,,
lci_b9bi_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #7
Start Date:

<i>*Most of these will only have one date to enter (e.g., date of sibling birth, date of divorce, etc.) but we are putting a start and end date possibility for the sake of consistency.</i>",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 7",y,,,,,
lci_b9bii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #7
End Date:",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 7",,,,,,
lci_b9biii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #7
Event Type:

<i>*For event type, enter brief explanation, such as ""Parent remarried"", or ""Sister was born"".</i>",,,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 7",y,,,,,
lci_b9biv_7,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #7
Mood rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 7",y,,,,,
lci_b9bi_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #8
Start Date:

<i>*Most of these will only have one date to enter (e.g., date of sibling birth, date of divorce, etc.) but we are putting a start and end date possibility for the sake of consistency.</i>",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 8",y,,,,,
lci_b9bii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #8
End Date:",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 8",,,,,,
lci_b9biii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #8
Event Type:

<i>*For event type, enter brief explanation, such as ""Parent remarried"", or ""Sister was born"".</i>",,,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 8",y,,,,,
